bert_small--encoder--jigsaw,bert_small--encoder--jigsaw--symmetric-init,bert_small--encoder--wikipedia,bert_small--encoder--wikipedia--symmetric-init,bert_small--encoder--red_pajama,bert_small--encoder--red_pajama--symmetric-init,bert--encoder--jigsaw,bert--encoder--jigsaw--symmetric-init,bert--encoder--wikipedia,bert--encoder--wikipedia--symmetric-init,bert--encoder--red_pajama,bert--encoder--red_pajama--symmetric-init
4.3943,4.0455,2.0484,1.6128,2.3695,2.0272,2.7354,2.6893,0.6238,0.556,0.6821,0.5888
4.3775,4.0427,2.04,1.6029,2.3521,2.0153,2.7355,2.6898,0.6206,0.5535,0.6783,0.5869
4.3438,4.0207,2.0308,1.5933,2.3363,2.0032,2.7142,2.6683,0.6193,0.5525,0.6746000000000001,0.5841000000000001
4.3177,4.0046,2.0191,1.5807,2.3191,1.9909,2.7121,2.6687,0.6147,0.5483,0.67045,0.581
4.3096,4.0075,2.01,1.5724,2.3029,1.9785,2.7092,2.6663,0.6128,0.5465,0.6678,0.5788
4.2659,3.9739,1.998,1.5597,2.288,1.9671,2.6825,2.6397,0.6091,0.5423,0.6658,0.5779
4.2653,3.982,1.9893,1.5542,2.275,1.957,2.6952,2.6556,0.6075,0.5416,0.6601,0.5729
4.2359,3.9578,1.9797,1.5436,2.2593,1.944,2.6651,2.6261,0.6041,0.5385,0.6565,0.5706
4.2251,3.9552,1.9683,1.5329,2.2443,1.9336,2.666,2.6244,0.6023,0.5362,0.6527,0.5673
4.2096,3.9509,1.958,1.5242,2.2272,1.9225,2.6767,2.638,0.5994,0.5338,0.6495,0.5652
4.1769,3.9247,1.9502,1.5154,2.2108,1.9127,2.6503,2.6137,0.596,0.5303,0.6476,0.5642
4.1662,3.9181,1.9397,1.505,2.1962,1.9022,2.6391,2.6043,0.593,0.5282,0.6444,0.5611
4.1513,3.9095,1.9319,1.4974,2.1834,1.895,2.6354,2.5999,0.5918,0.5266,0.6417,0.5594
4.1386,3.9044,1.9227,1.4882,2.1695,1.883,2.6302,2.5929,0.59,0.5254,0.6395,0.5582
4.1165,3.886,1.9146,1.4792,2.1585,1.8742,2.6185,2.5837,0.5864,0.5219,0.6338,0.5531
4.1016,3.8774,1.905,1.4689,2.1466,1.8651,2.6136,2.5783,0.5836,0.5195,0.6324,0.5524
4.0805,3.8609,1.8976,1.4606,2.1356,1.8565,2.5964,2.563,0.5836,0.5186,0.6318,0.5523
4.0779,3.8626,1.8915,1.4526,2.1262,1.8473,2.5942,2.5591,0.5798,0.5154,0.625,0.5463
4.0758,3.8651,1.8826,1.4404,2.1156,1.8389,2.6058,2.5723,0.5768,0.513,0.6241,0.5462
4.0452,3.8397,1.8758,1.4334,2.1059,1.8302,2.5891,2.5566,0.5751,0.5115,0.62,0.5431
4.0372,3.8354,1.8685,1.424,2.0995,1.8241,2.5828,2.5536,0.5736,0.5096,0.618,0.5418
4.0156,3.8163,1.8612,1.4156,2.0887,1.814,2.5604,2.5287,0.57,0.5065,0.614,0.5382
4.0138,3.8165,1.8543,1.4086,2.0797,1.8059,2.5689,2.5399,0.5701,0.5063,0.613,0.5376
3.9931,3.7986,1.8477,1.3988,2.071,1.7974,2.5451,2.517,0.56455,0.5014,0.6101,0.5361
3.9929,3.8049,1.8412,1.3909,2.0641,1.7916,2.5587,2.5306,0.56385,0.5004,0.6091,0.5353
3.9923,3.8051,1.8345,1.3828,2.0555,1.7835,2.5589,2.5321,0.56105,0.4979,0.6058,0.5325
3.9657,3.7843,1.8266,1.3753,2.0465,1.7743,2.5347,2.5069,0.5594,0.4968,0.6022,0.5292
3.9615,3.7813,1.8199,1.3679,2.0406,1.769,2.5381,2.5103,0.5591,0.4964,0.6037,0.5315
3.9486,3.7749,1.8157,1.3617,2.0318,1.7591,2.5368,2.5088,0.5549,0.4927,0.5988,0.5268
3.9329,3.7587,1.8102,1.3558,2.0242,1.7506,2.5128,2.4866,0.5546,0.4922,0.5955,0.5241
3.9233,3.7495,1.8037,1.3487,2.0163,1.7431,2.5102,2.4835,0.5509,0.4891,0.5936,0.5228
3.9178,3.7505,1.7992,1.3443,2.0126,1.7375,2.5169,2.4923,0.5501,0.4884,0.5949,0.5238
3.909,3.7436,1.7932,1.3374,2.0048,1.7273,2.5105,2.4866,0.5481,0.4862,0.5899,0.5195
3.9084,3.7447,1.789,1.3327,1.9967,1.7189,2.5086,2.4853,0.5464,0.485,0.5875,0.5182
3.8944,3.7286,1.7828,1.3249,1.9888,1.7076,2.498,2.4753,0.5448,0.4834,0.5858,0.5172
3.874,3.7127,1.7783,1.3207,1.9827,1.698,2.4836,2.4607,0.5422,0.4813,0.5812,0.513
3.8631,3.704,1.7721,1.3137,1.9763,1.6892,2.4742,2.4559,0.5401,0.4795,0.5793,0.5121
3.862,3.7044,1.7658,1.3076,1.9719,1.681,2.476,2.4539,0.539,0.4791,0.5784,0.511
3.8521,3.6978,1.7616,1.3042,1.9624,1.6691,2.4743,2.4542,0.538,0.4776,0.5761,0.5094
3.8535,3.7006,1.7584,1.2993,1.9552,1.6595,2.4721,2.449,0.5351,0.4748,0.5717,0.506
3.8418,3.6918,1.7526,1.2931,1.9517,1.6536,2.4699,2.4471,0.5329,0.4726,0.5717,0.5063
3.8326,3.6834,1.7457,1.287,1.9433,1.6442,2.4574,2.4381,0.5305,0.4707,0.5696,0.504
3.8214,3.6744,1.7445,1.2861,1.9377,1.6374,2.4536,2.435,0.53,0.4703,0.5685,0.5036
3.8018,3.6574,1.7383,1.2786,1.9321,1.6319,2.4402,2.4221,0.5268,0.4668,0.5674,0.5032
3.7994,3.6572,1.7333,1.2737,1.9261,1.6231,2.4426,2.4252,0.5255,0.4662,0.5646,0.5001
3.789,3.6465,1.7289,1.2693,1.9241,1.6202,2.4293,2.41,0.5222,0.4635,0.5654,0.5013
3.7926,3.6531,1.726,1.2668,1.9165,1.6127,2.4318,2.4131,0.5239,0.4654,0.5616,0.4987
3.7873,3.6463,1.7198,1.2593,1.9096,1.6048,2.4362,2.4191,0.5186,0.4605,0.5596,0.4964
3.7734,3.634,1.7169,1.2564,1.9039,1.5986,2.4133,2.3947,0.519,0.4605,0.5569,0.4943
3.7658,3.6276,1.7134,1.2526,1.9007,1.5958,2.4176,2.4022,0.5176,0.4601,0.5579,0.496
3.7608,3.6275,1.7107,1.2511,1.8953,1.589,2.4159,2.3999,0.5183,0.4604,0.5558,0.4938
3.7551,3.6193,1.7041,1.2431,1.8906,1.5849,2.404,2.3877,0.5136,0.4553,0.5535,0.4916
3.7419,3.6078,1.7005,1.2406,1.8842,1.5784,2.4029,2.3869,0.5134,0.4554,0.5517,0.4903
3.7381,3.6069,1.6975,1.2365,1.8788,1.5728,2.4011,2.3868,0.5112,0.4535,0.55,0.4892
3.7366,3.6085,1.6941,1.2333,1.8741,1.5675,2.3989,2.3834,0.5103,0.453,0.5491,0.4887
3.7198,3.5924,1.6904,1.23,1.8679,1.563,2.392,2.3767,0.5091,0.4522,0.5462,0.486
3.7195,3.5918,1.6862,1.2248,1.8664,1.5604,2.3897,2.3761,0.5064,0.4495,0.5464,0.487
3.7065,3.5824,1.6819,1.2226,1.858,1.5511,2.3776,2.3637,0.5057,0.4486,0.5410999999999999,0.4822
3.7028,3.5758,1.6785,1.2192,1.8535,1.5477,2.3736,2.3621,0.5049,0.4487,0.5401,0.4812
3.6927,3.5679,1.674,1.2138,1.8486,1.5428,2.3778,2.3632,0.5023,0.4457,0.54085,0.4824
3.6965,3.5732,1.6733,1.2124,1.8425,1.5373,2.371,2.3577,0.5027,0.446,0.5382,0.4808
3.6823,3.5577,1.6689,1.2081,1.8365,1.5312,2.3612,2.3469,0.5001,0.444,0.5346,0.4765
3.662,3.5419,1.6669,1.2068,1.8321,1.5278,2.349,2.3366,0.5016,0.4455,0.5339,0.47605
3.6904,3.5711,1.662,1.2008,1.8258,1.5207,2.3687,2.3564,0.497,0.4419,0.5327,0.47555
3.6624,3.5444,1.6592,1.1974,1.8216,1.5159,2.3493,2.3371,0.4952,0.4395,0.5317,0.4748
3.6639,3.5455,1.6548,1.1932,1.8163,1.5113,2.3503,2.339,0.4951,0.4393,0.5292,0.4719
3.655,3.5401,1.6531,1.1912,1.8127,1.5079,2.3427,2.3323,0.4949,0.4397,0.5291,0.472
3.6574,3.5401,1.6493,1.1832,1.8077,1.5029,2.3415,2.3302,0.4924,0.4379,0.5292,0.4727
3.6327,3.5175,1.6458,1.1801,1.8005,1.4961,2.3318,2.321,0.49,0.4356,0.526,0.4695
3.6302,3.517,1.6453,1.1785,1.7982,1.494,2.3309,2.3208,0.4904,0.4364,0.5239,0.4682
3.6382,3.5236,1.6387,1.1742,1.7926,1.4886,2.3331,2.322,0.486,0.4314,0.5238,0.4676
3.6251,3.5152,1.6377,1.1722,1.7875,1.4844,2.3244,2.3153,0.4864,0.4319,0.5246,0.4686
3.6169,3.5056,1.634,1.1687,1.7835,1.4789,2.3221,2.3098,0.4851,0.431,0.5213,0.4665
3.6025,3.4925,1.6315,1.1665,1.7805,1.4778,2.2996,2.2903,0.4851,0.431,0.5202,0.4657
3.613,3.5025,1.6296,1.1674,1.7716,1.468,2.3163,2.307,0.4847,0.431,0.5185,0.464
3.6146,3.5053,1.6251,1.1601,1.7669,1.4649,2.3221,2.3114,0.4821,0.429,0.5171,0.4632
3.6043,3.4942,1.6237,1.159,1.7625,1.46,2.3061,2.2981,0.48,0.4269,0.516,0.4618
3.5961,3.4882,1.619,1.1533,1.7565,1.4535,2.2975,2.2896,0.4781,0.4251,0.5119,0.4582
3.5873,3.4814,1.6163,1.1524,1.7519,1.4493,2.3008,2.2908,0.4792,0.4257,0.51,0.4563
3.585,3.4808,1.614,1.1504,1.7496,1.4466,2.2981,2.2891,0.4764,0.4242,0.5121,0.4586
3.5825,3.4766,1.6077,1.1454,1.7446,1.441,2.2873,2.279,0.4743,0.4223,0.5084,0.4555
3.5738,3.4692,1.6065,1.1434,1.7407,1.4383,2.2924,2.2839,0.4743,0.4224,0.5078,0.4552
3.5711,3.4658,1.605,1.1416,1.7357,1.4329,2.2869,2.2789,0.4727,0.4213,0.5068,0.4542
3.5694,3.4631,1.6023,1.1407,1.7307,1.4299,2.2804,2.2728,0.4737,0.4219,0.5059,0.4537
3.5542,3.449,1.5989,1.1369,1.7255,1.4241,2.2737,2.2654,0.4705,0.4193,0.5038,0.4515
3.5656,3.4646,1.5969,1.1351,1.7216,1.4196,2.2805,2.2737,0.4692,0.4182,0.5032,0.4512
3.5519,3.4494,1.5958,1.1345,1.7201,1.4178,2.2691,2.2624,0.4693,0.4179,0.5027,0.4515
3.5509,3.4521,1.5895,1.1288,1.7156,1.4127,2.2727,2.266,0.4671,0.4161,0.5016,0.4496
3.5452,3.4437,1.59,1.1298,1.7115,1.409,2.266,2.259,0.4666,0.4159,0.4999,0.448
3.537,3.4361,1.5861,1.1261,1.7079,1.4046,2.256,2.2481,0.4676,0.4171,0.4991,0.4475
3.5312,3.4298,1.5813,1.1219,1.702,1.4004,2.2501,2.2451,0.4636,0.4132,0.4955,0.4449
3.5205,3.4216,1.5784,1.1203,1.7,1.3976,2.2542,2.2459,0.4636,0.4137,0.499,0.4475
3.5433,3.4414,1.5782,1.119,1.6948,1.3927,2.2613,2.2549,0.463,0.413,0.4954,0.444
3.5279,3.4298,1.5736,1.116,1.6922,1.39,2.2558,2.2491,0.4616,0.4113,0.4946,0.4443
3.5252,3.4268,1.5701,1.1138,1.6869,1.3842,2.2512,2.2442,0.4604,0.4105,0.493,0.4431
3.5201,3.4235,1.5681,1.1118,1.6816,1.3795,2.2459,2.2398,0.4575,0.4081,0.4905,0.4407
3.4972,3.4006,1.5659,1.1105,1.6825,1.3794,2.2321,2.2275,0.4569,0.4076,0.491,0.4416
3.4997,3.4051,1.5645,1.1098,1.6767,1.3732,2.2329,2.2272,0.4579,0.4087,0.4897,0.4402
3.4901,3.3969,1.5599,1.1048,1.6736,1.3702,2.2204,2.2149,0.4555,0.4068,0.4893,0.4402
3.4925,3.3976,1.557,1.1029,1.6705,1.3674,2.2307,2.2258,0.4535,0.4049,0.488,0.4387
3.4928,3.4008,1.5553,1.1009,1.6696,1.366,2.2311,2.2277,0.4554,0.4067,0.4876,0.4383
3.4897,3.3941,1.552,1.0989,1.6621,1.3606,2.2199,2.2153,0.4524,0.4047,0.4879,0.4389
3.4686,3.3765,1.5497,1.0967,1.6603,1.3585,2.2149,2.2102,0.4512,0.4029,0.48585,0.4375
3.4755,3.382,1.5486,1.0975,1.6562,1.3538,2.2195,2.2153,0.4519,0.4042,0.48335,0.434
3.4744,3.3844,1.5438,1.0928,1.654,1.3514,2.2142,2.2107,0.4499,0.4022,0.4841999999999999,0.4349
3.4813,3.3887,1.5439,1.0926,1.6477,1.3459,2.2209,2.2178,0.4492,0.4019,0.4813,0.4328
3.4618,3.3725,1.5392,1.0886,1.6467,1.3444,2.2067,2.2006,0.4471,0.3994,0.4832,0.4346
3.4753,3.3853,1.5382,1.0896,1.6438,1.341,2.2137,2.2085,0.4476,0.4002,0.4799,0.4322
3.4621,3.375,1.5328,1.0846,1.6403,1.3391,2.2035,2.2017,0.4445,0.3982,0.4812,0.4327
3.445,3.3549,1.5317,1.084,1.6368,1.3345,2.1923,2.1871,0.4455,0.3986,0.4791,0.4311
3.4437,3.3526,1.5297,1.0832,1.6347,1.3344,2.1891,2.1841,0.4427,0.3963,0.4794,0.4319
3.454,3.3652,1.5273,1.0813,1.6321,1.3309,2.1993,2.1965,0.4426,0.3959,0.4787,0.4313
3.4463,3.358,1.5221,1.0764,1.6294,1.3285,2.1972,2.1934,0.4414,0.3949,0.477,0.4291
